0	(2*Pi)/5	(2*Pi)/5
0	(4*Pi)/5	(4*Pi)/5
0	(6*Pi)/5	(6*Pi)/5
0	(8*Pi)/5	(8*Pi)/5
(2*Pi)/5	0	(2*Pi)/5
(2*Pi)/5	(2*Pi)/5	0
(2*Pi)/5	(2*Pi)/5	(2*Pi)/5
(2*Pi)/5	(2*Pi)/5	(4*Pi)/5
(2*Pi)/5	(4*Pi)/5	(2*Pi)/5
(2*Pi)/5	(4*Pi)/5	(4*Pi)/5
(2*Pi)/5	(4*Pi)/5	(6*Pi)/5
(2*Pi)/5	(6*Pi)/5	(4*Pi)/5
(2*Pi)/5	(6*Pi)/5	(6*Pi)/5
(2*Pi)/5	(6*Pi)/5	(8*Pi)/5
(2*Pi)/5	(8*Pi)/5	(6*Pi)/5
(2*Pi)/5	(8*Pi)/5	(8*Pi)/5
(2*Pi)/5	(8*Pi)/5	2*Pi
(2*Pi)/5	2*Pi	(8*Pi)/5
(2*Pi)/5	2*Pi	2*Pi
(4*Pi)/5	0	(4*Pi)/5
(4*Pi)/5	(2*Pi)/5	(2*Pi)/5
(4*Pi)/5	(2*Pi)/5	(4*Pi)/5
(4*Pi)/5	(2*Pi)/5	(6*Pi)/5
(4*Pi)/5	(4*Pi)/5	0
(4*Pi)/5	(4*Pi)/5	(2*Pi)/5
(4*Pi)/5	(4*Pi)/5	(4*Pi)/5
(4*Pi)/5	(4*Pi)/5	(6*Pi)/5
(4*Pi)/5	(4*Pi)/5	(8*Pi)/5
(4*Pi)/5	(6*Pi)/5	(2*Pi)/5
(4*Pi)/5	(6*Pi)/5	(4*Pi)/5
(4*Pi)/5	(6*Pi)/5	(6*Pi)/5
(4*Pi)/5	(6*Pi)/5	(8*Pi)/5
(4*Pi)/5	(6*Pi)/5	2*Pi
(4*Pi)/5	(8*Pi)/5	(4*Pi)/5
(4*Pi)/5	(8*Pi)/5	(6*Pi)/5
(4*Pi)/5	(8*Pi)/5	(8*Pi)/5
(4*Pi)/5	(8*Pi)/5	2*Pi
(4*Pi)/5	(8*Pi)/5	(12*Pi)/5
(4*Pi)/5	2*Pi	(6*Pi)/5
(4*Pi)/5	2*Pi	(8*Pi)/5
(4*Pi)/5	2*Pi	2*Pi
(4*Pi)/5	2*Pi	(12*Pi)/5
(4*Pi)/5	(12*Pi)/5	(8*Pi)/5
(4*Pi)/5	(12*Pi)/5	2*Pi
(6*Pi)/5	0	(6*Pi)/5
(6*Pi)/5	(2*Pi)/5	(4*Pi)/5
(6*Pi)/5	(2*Pi)/5	(6*Pi)/5
(6*Pi)/5	(2*Pi)/5	(8*Pi)/5
(6*Pi)/5	(4*Pi)/5	(2*Pi)/5
(6*Pi)/5	(4*Pi)/5	(4*Pi)/5
(6*Pi)/5	(4*Pi)/5	(6*Pi)/5
(6*Pi)/5	(4*Pi)/5	(8*Pi)/5
(6*Pi)/5	(4*Pi)/5	2*Pi
(6*Pi)/5	(6*Pi)/5	0
(6*Pi)/5	(6*Pi)/5	(2*Pi)/5
(6*Pi)/5	(6*Pi)/5	(4*Pi)/5
(6*Pi)/5	(6*Pi)/5	(6*Pi)/5
(6*Pi)/5	(6*Pi)/5	(8*Pi)/5
(6*Pi)/5	(6*Pi)/5	2*Pi
(6*Pi)/5	(6*Pi)/5	(12*Pi)/5
(6*Pi)/5	(8*Pi)/5	(2*Pi)/5
(6*Pi)/5	(8*Pi)/5	(4*Pi)/5
(6*Pi)/5	(8*Pi)/5	(6*Pi)/5
(6*Pi)/5	(8*Pi)/5	(8*Pi)/5
(6*Pi)/5	(8*Pi)/5	2*Pi
(6*Pi)/5	(8*Pi)/5	(12*Pi)/5
(6*Pi)/5	(8*Pi)/5	(14*Pi)/5
(6*Pi)/5	2*Pi	(4*Pi)/5
(6*Pi)/5	2*Pi	(6*Pi)/5
(6*Pi)/5	2*Pi	(8*Pi)/5
(6*Pi)/5	2*Pi	2*Pi
(6*Pi)/5	2*Pi	(12*Pi)/5
(6*Pi)/5	2*Pi	(14*Pi)/5
(6*Pi)/5	(12*Pi)/5	(6*Pi)/5
(6*Pi)/5	(12*Pi)/5	(8*Pi)/5
(6*Pi)/5	(12*Pi)/5	2*Pi
(6*Pi)/5	(12*Pi)/5	(12*Pi)/5
(6*Pi)/5	(14*Pi)/5	(8*Pi)/5
(6*Pi)/5	(14*Pi)/5	2*Pi
(8*Pi)/5	0	(8*Pi)/5
(8*Pi)/5	(2*Pi)/5	(6*Pi)/5
(8*Pi)/5	(2*Pi)/5	(8*Pi)/5
(8*Pi)/5	(2*Pi)/5	2*Pi
(8*Pi)/5	(4*Pi)/5	(4*Pi)/5
(8*Pi)/5	(4*Pi)/5	(6*Pi)/5
(8*Pi)/5	(4*Pi)/5	(8*Pi)/5
(8*Pi)/5	(4*Pi)/5	2*Pi
(8*Pi)/5	(4*Pi)/5	(12*Pi)/5
(8*Pi)/5	(6*Pi)/5	(2*Pi)/5
(8*Pi)/5	(6*Pi)/5	(4*Pi)/5
(8*Pi)/5	(6*Pi)/5	(6*Pi)/5
(8*Pi)/5	(6*Pi)/5	(8*Pi)/5
(8*Pi)/5	(6*Pi)/5	2*Pi
(8*Pi)/5	(6*Pi)/5	(12*Pi)/5
(8*Pi)/5	(6*Pi)/5	(14*Pi)/5
(8*Pi)/5	(8*Pi)/5	0
(8*Pi)/5	(8*Pi)/5	(2*Pi)/5
(8*Pi)/5	(8*Pi)/5	(4*Pi)/5
(8*Pi)/5	(8*Pi)/5	(6*Pi)/5
(8*Pi)/5	(8*Pi)/5	(8*Pi)/5
(8*Pi)/5	(8*Pi)/5	2*Pi
(8*Pi)/5	(8*Pi)/5	(12*Pi)/5
(8*Pi)/5	(8*Pi)/5	(14*Pi)/5
(8*Pi)/5	(8*Pi)/5	(16*Pi)/5
(8*Pi)/5	2*Pi	(2*Pi)/5
(8*Pi)/5	2*Pi	(4*Pi)/5
