0.03015641 0.07213087 0.05631196
0.08119673 0.01263586 1.02303454
0.06477833 0.09017042 2.02598952
0.08400257 1.00504672 0.07536393
0.04155324 1.09380790 1.02551753
0.00662218 1.01568618 2.02575264
0.02678497 2.04579850 0.00809208
0.03237304 2.05453895 1.01920186
0.04352836 2.01896662 2.09511665
1.05178542 0.00913141 0.08636142
1.01905134 0.03612744 1.06146874
1.02845190 0.09971190 2.00733939
1.01133408 1.05631102 0.01992647
1.06764195 1.00636502 1.05561177
1.00009440 1.01291322 2.03603311
1.01887787 2.05476577 0.09844019
1.00249372 2.09219190 1.02075140
1.02223356 2.09687526 2.06782939
2.08851916 0.08571854 0.04272711
2.07608083 0.01997073 1.09069386
2.08835660 0.09428651 2.06992739
2.09032479 1.02547416 0.02337710
2.05922931 1.04426862 1.01472322
2.04172236 1.02143759 2.05635003
2.09471952 2.08955634 0.02424566
2.04001449 2.05496160 1.05391953
2.01213162 2.08889565 2.06107424
0.57387180 0.55529544 0.51326695
0.55354291 0.59458409 1.54061558
0.51859824 0.57111711 2.57298090
0.52796760 1.56082743 0.55814340
0.54999756 1.58651162 1.52127675
0.59980911 1.52957216 2.59083333
0.56906050 2.55258766 0.59888848
0.57965603 2.51118848 1.58083656
0.50447602 2.52388269 2.59311335
1.58179456 0.54955876 0.56610662
1.52690128 0.57384048 1.57790195
1.54932786 0.55741365 2.56920786
1.53148299 1.51031472 0.55522064
1.55790875 1.52970140 1.52698494
1.58320036 1.59802004 2.50401286
1.52824448 2.52052070 0.59263970
1.51277314 2.55071044 1.56373852
1.54477088 2.57905828 2.52809627
2.58595374 0.58270058 0.54450369
2.51986556 0.51576350 1.58829356
2.55084294 0.51234311 2.50581401
2.55845316 1.58328148 0.57286835
2.59080886 1.55768837 1.52826797
2.54777471 1.55855376 2.57129842
2.56304497 2.57311413 0.59299256
2.53194193 2.58959278 1.50958025
2.50250379 2.59223581 2.53956154
