   11.716         7.973   
   14.422         8.853   
    7.717         5.409   
    8.396         5.420   
    9.432         6.528   
    3.827         2.677   
    4.845         3.380   
   10.149         6.785   
    4.370         3.082   
    5.961         4.535   
    6.973         5.075   
    6.482         4.576   
    8.236         5.753   
   10.759         6.048   
   20.254         9.726   
    5.627         3.933   
    7.788         5.866   
    9.833         6.961   
    5.543         3.965   
    4.764         3.539   
   11.935         8.054   
    6.319         4.612   
    3.009         2.364   
    3.715         2.712   
    7.593         5.455   
    4.162         2.922   
   21.058        12.204   
    3.706         2.816   
   10.188         6.767   
    6.679         4.960   
    9.119         6.177   
    7.877         5.591   
    6.744         4.771   
    3.391         2.444   
    3.847         2.952   
    6.137         4.453   
    5.578         3.869   
    3.231         2.582   
    4.253         3.291   
