  11.716        11.695  
  14.422        14.479  
   7.717         7.686  
   8.396         8.386  
   9.432         9.387  
   3.827         3.793  
   4.845         4.821  
  10.149        10.068  
   4.370         4.359  
   5.961         5.924  
   6.973         6.877  
   6.482         6.477  
   8.236         8.220  
  10.759         9.776  
  20.254        19.501  
   5.627         5.614  
   7.788         7.759  
   9.833         9.811  
   5.543         5.504  
   4.764         4.742  
  11.935        11.923  
   6.319         6.323  
   3.009         2.912  
   3.715         3.678  
   7.593         7.563  
   4.162         4.119  
  21.058        21.022  
   3.706         3.659  
  10.188        10.111  
   6.679         6.638  
   9.119         9.110  
   7.877         7.786  
   6.744         6.712  
   3.391         3.351  
   3.847         3.774  
   6.137         6.122  
   5.578         5.583  
   3.231         3.137  
