    11.716        11.608    
    14.422        13.534    
     7.717         7.462    
     8.396         7.933    
     9.432         9.169    
     3.827         3.579    
     4.845         4.616    
    10.149         9.832    
     4.370         4.098    
     5.961         5.716    
     6.973         6.756    
     6.482         6.238    
     8.236         8.061    
    10.759         9.591    
    20.254        15.321    
     5.627         5.424    
     7.788         7.605    
     9.833         9.711    
     5.543         5.214    
     4.764         4.501    
    11.935        11.719    
     6.319         6.145    
     3.009         2.689    
     3.715         3.381    
     7.593         7.362    
     4.162         3.906    
    21.058        17.754    
     3.706         3.391    
    10.188         9.771    
     6.679         6.410    
     9.119         8.988    
     7.877         7.691    
     6.744         6.477    
     3.391         3.048    
     3.847         3.550    
     6.137         5.837    
     5.578         5.265    
     3.231         2.909    
     4.253         3.992    
