    0.3462  -26.9990  -26.8874  -26.8874  -26.7735  -26.6601  -26.6601    1.5054    3.7694    4.4760    6.4676    6.4676    6.7191    7.1845    7.4947    7.4947    8.5790    8.7609   10.0674
    0.3590  -26.9945  -26.8783  -26.8783  -26.7867  -26.6687  -26.6687    1.6272    3.7437    4.5545    6.4815    6.4815    6.6228    7.2350    7.4212    7.4212    8.5224    8.7873    9.9447
    0.3718  -26.9896  -26.8689  -26.8689  -26.7997  -26.6774  -26.6774    1.7503    3.7102    4.6352    6.4976    6.4976    6.5255    7.2868    7.3502    7.3502    8.4651    8.8136    9.8307
    0.3846  -26.9847  -26.8608  -26.8608  -26.8116  -26.6855  -26.6855    1.8745    3.6686    4.7174    6.4293    6.5198    6.5198    7.2788    7.2788    7.3417    8.3954    8.8400    9.7244
    0.3974  -26.9790  -26.8513  -26.8513  -26.8243  -26.6947  -26.6947    1.9990    3.6189    4.8021    6.3304    6.5400    6.5400    7.2131    7.2131    7.3956    8.3364    8.8667    9.6276
    0.4103  -26.9727  -26.8417  -26.8417  -26.8368  -26.7040  -26.7040    2.1237    3.5610    4.8886    6.2311    6.5626    6.5626    7.1501    7.1501    7.4505    8.2770    8.8937    9.5392
    0.4231  -26.9649  -26.8496  -26.8318  -26.8318  -26.7138  -26.7138    2.2478    3.4952    4.9771    6.1295    6.5846    6.5846    7.0917    7.0917    7.5063    8.2171    8.9211    9.4634
    0.4359  -26.9578  -26.8614  -26.8221  -26.8221  -26.7234  -26.7234    2.3711    3.4217    5.0670    6.0299    6.6120    6.6120    7.0341    7.0341    7.5630    8.1570    8.9496    9.3905
    0.4487  -26.9503  -26.8730  -26.8122  -26.8122  -26.7331  -26.7331    2.4929    3.3407    5.1584    5.9304    6.6419    6.6419    6.9793    6.9793    7.6204    8.0968    8.9794    9.3247
    0.4615  -26.9422  -26.8842  -26.8023  -26.8023  -26.7429  -26.7429    2.6126    3.2529    5.2513    5.8313    6.6745    6.6745    6.9273    6.9273    7.6785    8.0364    9.0109    9.2655
    0.4744  -26.9337  -26.8949  -26.7924  -26.7924  -26.7527  -26.7527    2.7297    3.1586    5.3454    5.7326    6.7097    6.7097    6.8782    6.8782    7.7372    7.9761    9.0445    9.2121
    0.4872  -26.9247  -26.9053  -26.7825  -26.7825  -26.7626  -26.7626    2.8434    3.0585    5.4408    5.6345    6.7477    6.7477    6.8319    6.8319    7.7964    7.9160    9.0809    9.1640
