################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         21   0.0000000000000000E+00   1.0748267047165838E+01   2.5977430806024504E+00   2.2607625570896954E+00
         1         22   0.0000000000000000E+00   8.3310838761832677E+00   1.8341330690594926E+00   1.4651804756012785E+00
         1         23   0.0000000000000000E+00   5.4920720965717127E+00   1.2178205871555192E+00   9.8797004960983015E-01
         1         24   0.0000000000000000E+00   7.0984783855438751E+00   2.3477856562042252E+00   1.2612783900787423E+00
         1         25   0.0000000000000000E+00   8.9648578154867344E+00   2.1933178868445045E+00   1.9275329214279646E+00
         1         26   0.0000000000000000E+00   2.0151086797308353E+00   6.7545437956803589E-01   3.4427673509441231E-01
         1         27   0.0000000000000000E+00   2.4366353981449738E+00   6.1930737508797984E-01   5.4233677111445910E-01
         1         28   0.0000000000000000E+00   1.9107057977638786E+00   4.1101773079676113E-01   3.3454421053443889E-01
         1         29   0.0000000000000000E+00   3.7491201589131475E+00   1.2320547061134810E+00   6.6705820881208966E-01
         1         30   0.0000000000000000E+00   4.6463682690736192E+00   1.1784590436304674E+00   1.0310764822638239E+00
         1         31   0.0000000000000000E+00   3.7008021682226255E+00   7.9537765425837503E-01   6.5703571333255528E-01
         1         32   0.0000000000000000E+00   5.0690551122470175E+00   1.7315145342182579E+00   9.3283094190997384E-01
         1         33   0.0000000000000000E+00   4.7395802338369490E+00   1.0813715423748194E+00   8.5452919498257918E-01
         1         34   0.0000000000000000E+00   6.4205452622922228E-04   2.7105860992313529E-05   4.5711732697234837E-05
         1         35   0.0000000000000000E+00   1.2836623600980316E-03   3.5683045964361471E-05   7.4395445393275641E-05
         1         36   0.0000000000000000E+00   1.3626499514584197E-03   2.4329307634365939E-05   6.1443330842330475E-05
         1         37   0.0000000000000000E+00   2.5700379798456196E-02   1.6596954423220218E-03   2.3363753441369424E-03
         1         38   0.0000000000000000E+00   1.7800106759302152E-02   2.2446442260844073E-03   2.6933374597006448E-03
         1         39   0.0000000000000000E+00   1.8763266983922958E-02   2.7030186193100461E-03   2.8224747318375079E-03
         1         40   0.0000000000000000E+00   4.9431817414394175E-02   3.4556089279236934E-03   5.1950966776722037E-03
         1         41   0.0000000000000000E+00   1.3997369039595161E-02   2.2132084588810156E-03   2.6182885339965638E-03
         1         42   0.0000000000000000E+00   4.3603045267971381E-02   1.9942716336169429E-03   2.9652029750809840E-03
         1         43   0.0000000000000000E+00   7.2741237751881946E-02   4.8090926665404410E-03   6.6793312232002796E-03
         1         44   0.0000000000000000E+00   5.4227860229735601E-02   6.8887223469656159E-03   8.1602482922288663E-03
         1         45   0.0000000000000000E+00   6.4647867439001860E-02   9.6971584658421678E-03   1.0311802915408470E-02
         1         46   0.0000000000000000E+00   1.4149588538187216E-01   1.0170068989608231E-02   1.4936436907237156E-02
         1         47   0.0000000000000000E+00   4.6439167277597768E-02   7.2585006965097563E-03   8.3179310387743351E-03
         1         48   0.0000000000000000E+00   1.0701324985253538E-01   5.0665551876342991E-03   8.1949628068037714E-03
         1         49   0.0000000000000000E+00   2.2086448634403544E-03   8.9504245369447175E-05   1.5075535144173843E-04
         1         50   0.0000000000000000E+00   1.6622821012319373E-03   1.2973565214469696E-04   1.5437490784389837E-04
