################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         20   0.0000000000000000E+00   4.2911649827419183E+00   3.0377621944621747E+00   4.5779350659310009E-01
         1         21   0.0000000000000000E+00   4.5155845972565993E+00   2.2493364835339291E-01   5.7933391544986557E-01
         1         22   0.0000000000000000E+00   8.9233773750837919E+00   6.3101124383106368E+00   9.6423578688852818E-01
         1         23   0.0000000000000000E+00   9.3835961030036685E+00   4.7029802629129230E-01   1.2136821696917521E+00
         1         24   0.0000000000000000E+00   6.8423461165920818E+00   4.7942831825652474E+00   7.3256517059307313E-01
         1         25   0.0000000000000000E+00   7.1259779266007870E+00   3.5667277048371449E-01   9.2085931705502844E-01
         1         26   0.0000000000000000E+00   4.2653141165815572E-01   1.9286549424548403E-02   5.2621417163720881E-02
         1         27   0.0000000000000000E+00   6.4963851074544250E+00   4.5341891371959795E+00   6.7612431200116119E-01
         1         28   0.0000000000000000E+00   6.7570903216900531E+00   3.3524421039289176E-01   8.6879585201851162E-01
         1         29   0.0000000000000000E+00   6.7639649559011046E+00   4.7272709417291194E+00   7.3052885298593162E-01
         1         30   0.0000000000000000E+00   7.0681462536137163E+00   3.5485507035117009E-01   9.1691527078651891E-01
         1         31   0.0000000000000000E+00   1.3891663834509751E+00   6.0753302018050659E-01   1.5846801170844632E-01
         1         32   0.0000000000000000E+00   6.7442393820351410E-01   6.4820322066257055E-02   1.4698531980121862E-01
         2          1   0.0000000000000000E+00   6.6160796868162464E-01   3.1610659168791311E-01   1.5484939632826838E-01
         2          2   0.0000000000000000E+00   3.4139866123629475E-01   7.5965000688418632E-02   9.9470491802089722E-02
         2          3   0.0000000000000000E+00   4.0822134427874479E-01   2.8074692763330705E-01   1.2929912226061963E-01
         2          4   0.0000000000000000E+00   2.2514365508185008E-01   4.2348654865348036E-02   5.7114666070471380E-02
         2          5   0.0000000000000000E+00   2.2794646166238450E-01   1.5063170202583198E-01   6.5316437435230731E-02
