# Ref: http://cst-www.nrl.navy.mil/lattice/prototype.html (21.03.2012)
#          Prototype  NrSpecies  Stochiometry   Pearson's     Struktur   SpaceGroup    Nr    Wyckoff  NrIrr     Notes
                CClN        3           1:1:1         oP6           --         Pmmn    59         a3      3     Cyanogen_Chloride
               C3Cr7        2             3:7        oP40         D101         Pnma    62       c4d3      7     --
              C6Cr23        2            6:23       cF116          D84         Fm3m   225      acefh      5     --
                CFe2        2             1:2         oP6           --         Pnnm    58         ag      2     --
                CFe3        2             1:3        oP16         D011         Pnma    62        c2d      3     Cementite
                CFe3        2             1:3         hP8           --        P6322   182         dg      2     Bainite
                CFe4        2             1:4         cP5           --         P43m   215         ae      2     --
              CFe3W3        3           1:3:3       cF112          E93         Fd3m   227       cdef      4     --
                C8H8        2             8:8        hR16           --           R3   148       c2f2      4     Solid_Cubane
                CKNS        4         1:1:1:1        oP16          F59         Pbcm    57        cd3      4     --
                 CMo        2             1:1        hP12           --      P63/mmc   194       abf2      4     some_MAXphase
                  CO        2             1:1         cP8          B21         P213   198         a2      2     --
               C3Pu2        2             2:3        cI40          D5c         I43d   220         cd      2     --
                 CSi        2             1:1        hP12           --        P63mc   186       a2b4      6     Moissanite-6H
                 CSi        2             1:1         hP8           --        P63mc   186       a2b2      4     Moissanite-4H
                 CSi        2             1:1        hR18           --          R3m   160         a6      6     Moissanite-9R
                  CW        2             1:1         hP2           Bh         P6m2   187         af      2     --
               CaCl2        2             1:2         oP6          C35         Pnnm    58         ag      2     --
               CaCu5        2             1:5         hP6          D2d       P6/mmm   191        acg      3     --
              CaCuO2        3           1:1:2         tP4           --       P4/mmm   123        adf      3     Prototype_for_high-T_cuprates
                CaF2        2             1:2        cF12           C1         Fm3m   225         ac      2     Fluorite
           CaFeO6Si2        4         1:1:2:6        mC40           --         C2/c    15        ef4      5     Esseneite
               Ca7Ge        2             1:7        cF32           --         Fm3m   225        abd      3     --
              Ca33Ge        2            1:33        cF48           --         Fd3m   227         ce      2     also_CTi
               CaIn2        2             1:2         hP6           --      P63/mmc   194         bf      2     --
              CaO3Ti        3           1:1:3         cP5          E21         Pm3m   221        abc      3     Cubic_Perovskite
              CaO3Ti        3           1:1:3        oP20           --         Pnma    62       ac2d      4     Perovskite
               CdPt3        2             1:3         oC8        "L13"         Cmmm    65        abf      3     Predicted_Structure
                CdSb        2             1:1        oP16           Be         Pbca    61         c2      2     --
                CdTe        2             1:1         oP2           --         Pmm2    25         ab      2     --
                  Cf        1               1         aP4           --           P1     2        aci      3     --
                ClCs        2             1:1         cP2           B2         Pm3m   221         ab      2     --
               ClFPb        3           1:1:1         tP6           --       P4/nmm   129        ac2      3     Matlockite
                ClNa        2             1:1         cF8           B1         Fm3m   225         ab      2     Rock_Salt
               Co2Si        2             1:2        oP12          C37         Pnma    62         c3      3     --
             CoGa5Ho        3           1:1:5         tP7           --       P4/mmm   123       abci      4     --
                CoSn        2             1:1         hP6          B35       P6/mmm   191        adf      3     --
                 CoU        2             1:1        cI16           Ba         I213   199         a2      2     --
               CrCl3        2             1:3        hP24          D04        P3112   151       a2c3      5     --
         CrFe(sigma)        2             1:1        tP30          D8b      P42/mnm   136       afi3      5     --
            CrFe4Ni3        3           1:3:4        cI16           --         Im3m   229        abc      3     Hypothetical_Ferrite_Structure
          CrFe8MoNi6        4         1:1:6:8        cP16           --         Pm3m   221      abcdg      5     Hypothetical_Ferrite_Structure
           CrFe12Ni3        3          1:3:12        cI32           --         Im3m   229        abh      3     Hypothetical_Austenite_Structure
           CrFe18Ni8        3          1:8:18       cF108           --         Fm3m   225       aefh      4     Hypothetical_Austenite_Structure
           CrFe20Ni6        3          1:6:21        cI54           --         Im3m   229       aefh      4     Hypothetical_Ferrite_Structure
           CrFe25Ni6        3          1:6:25        cP32           --         Pm3m   221     abd2ij      6     Hypothetical_Austenite_Structure
          Cr9Fe16Ni7        3          7:9:16       cF128           --         Fm3m   225    abcdef2      7     Hypothetical_Ferrite_Structure
              CrNaS2        3           1:1:2         hR4          F51          R3m   166        abc      3     Caswellsilverite
               Cr3Si        2             1:3         cP8          A15         Pm3n   223         ac      2     --
               CrSi2        2             1:2         hP9          C40        P6222   180         dj      2     --
                CrTi        2             1:1         hP3           C6         P3m1   164         ad      2     omega_phase
                  Cu        1               1         cF4           A1         Fm3m   225          a      1     fcc
              CuFeS2        3           1:1:2        tI16          E11         I42d   122        abd      3     Chalcopyrite
           Cu2FeS4Sn        4         1:1:2:4        tI16          H26         I42m   121       abdi      4     Stannite
               Cu2Mg        2             1:2        cF24          C15         Fd3m   227         ad      2     Cubic_Laves
             Cu4MgSn        3           1:1:4        cF24         C15b         F43m   216        ace      3     --
                 CuO        2             1:1         mC8          B26         C2/c    15         ce      2     Tenorite
              CuO2Sr        3           1:1:2        oC16           --         Cmcm    63         c4      4     --
                CuPt        2             1:1        hR32          L11          R3m   166         ab      2     --
                 CuS        2             1:1        hP12          B18      P63/mmc   194      c2d2e      5     --
              Cu3S4V        3           1:3:4         cP8          H24         P43m   215        ade      3     Sulvanite
               Cu2Sb        2             1:2         tP6          C38       I4/nmm   129        ac2      3     --
              CuSbS2        3           1:1:2        oP16          F56         Pnma    62         c4      4     --
                CuTe        2             1:1         oP4           --         Pmmn    59         ab      2     --
               Cu2Te        2             1:2         hP6           Ch       P6/mmm   191         ch      2     --
         CuTi(gamma)        2             1:1         tP4          B11       P4/nmm   129         c2      2     --
               CuTi3        2             1:3         tP4          L60       P4/mmm   123        ace      3     --
         Cu3Ti(beta)        2             1:3         oP8          D0a         Pmmn    59        abf      3     --
              Cu5Zn8        2             5:8        cI52           --         I43m   217        ceg      3     gammaBrass
                F4Si        2             1:4        cI10           --         I43m   217         ac      2     --
                 FTl        2             1:1         oF8          B24         Fmmm    69         ab      2     --
              FeO3Ti        3           1:1:3        hR10           --           R3   148        c2f      3     Ilmenite
                Fe2P        2             1:2         hP9          C22         P321   150       bdef      4     Original_Structure
                Fe2P        2             1:2         hP9          C22         P62m   189       bcfg      4     Revised_Structure
                FeS2        2             1:2        cP12           C2          Pa3   205         ac      2     Pyrite
                FeS2        2             1:2         oP6          C18         Pnnm    58         ag      2     Marcasite
                FeS2        2             1:2        aP12           --           P1     1        a12     12     --
                FeSi        2             1:1         cP8          B20         P213   198         a2      2     --
               Fe7W6        2             6:7        hR13          D85          R3m   166       ac3h      5     --
           Ga(alpha)        1               1         oC8          A11         Cmca    64          f      1     --
               Ga2Hf        2             1:2        tI24           --      I41/amd   141         e3      3     --
               Ga4Ni        2             1:4        cI40           --          I23   197       c2de      4     --
              Ga4Ni3        2             3:4       cI112           --         Ia3d   230        afg      3     --
              Ga3Pt5        2             3:5        oC16           --         Cmmm    65      abehj      5     --
                 GeS        2             1:1         oP8          B16         Pnma    62         c2      2     --
                GeS2        2             1:2        oF72          C44         Fdd2    43        ab4      5     --
                H3Ho        2             1:3        hP24           --         P3c1   165       adfg      4     --
                 H3N        2             1:3        cP16           D1         P213   198         ab      2     Ammonia
                H2Th        2             1:2         tI6          L'2       I4/mmm   139         ad      2     --
           Hg(alpha)        1               1         hR1          A10          R3m   166          a      1     Rhombohedral
               HgBr2        2             1:2        oC12          C24        Cmc21    36         b3      3     --
               HgCl2        2             1:2        oP12          C25         Pnma    62         c3      3     --
                 HgS        2             1:1         hP6           B9        P3221   154         ab      2     Cinnabar
     HgSn6-10(gamma)        2             1:6         hP1           Af       P6/mmm   191          a      1     Simple_Hexagonal
                  I2        1               1         oC8          A14         Cmca    64          f      1     --
                I2P4        2             2:4         aP6           --           P1     2         i3      3     --
                  In        1               1         tI2           A6       I4/mmm   139          a      1     fct
               InNi2        2             1:2         hP6          B82      P63/mmc   194        acd      3     --
         In2S3(beta)        2             2:3        tI80           --      I41/amd   141       ceh4      6     Ordered_Defect_Spinel
               Ir3Si        2             1:3        tI16         D0'c       I4/mcm   140        abh      3     --
          IrV(alpha)        2             1:1         oC8           --         Cmmm    65         gj      2     --
               KClO3        3           1:1:3        mP10          G06        P21/m    11        e3f      4     --
           La(alpha)        1               1         hP4          A3'      P63/mmc   194         ac      2     --
               La2O3        2             2:3         cI5           --         Im3m   229         ab      2     --
                  Li        1               1        cI16           --         I43d   220          c      1     High-Pressure_cI16_phase
                Li3N        2             1:3         hP4           --       P6/mmm   191        abc      3     --
              LiNbO3        3           1:1:3        hR10           --          R3c   161        a2b      3     Ferroelectric_phase
              LiNbO3        3           1:1:3        hR10           --          R3c   167        abe      3     Paraelectric_phase
                  Mg        1               1         hP2           A3      P63/mmc   194          c      1     hcp
               MgNi2        2             1:2        hP24          C36      P63/mmc   194      ef2gh      5     Hexagonal_Laves
               Mg2Ni        2             1:2        hP18           Ca        P6222   180       bcfi      4     --
               MgZn2        2             1:2        hP12          C14      P63/mmc   194        afh      3     Hexagonal_Laves
           Mn(alpha)        1               1        cI58          A12         I43m   217       acg2      4     --
            Mn(beta)        1               1        cP20          A13        P4132   213         cd      2     --
               Mn2O3        2             2:3        cI80          D53          Ia3   206        ade      3     Bixbyite
               Mn3O4        2             3:4        tI28           --      I41/amd   141        adh      3     --
                 MnP        2             1:1         oP8          B31         Pnma    62         c2      2     --
              Mn12Th        2            1:12        tI26          D2b       I4/mmm   139       afij      4     --
               MoNi4        2             1:4        tI10          D1a         I4/m    87         ah      2     --
               MoPt2        2             1:2         oI6           --         Immm    71         ag      2     --
                MoS2        2             1:2         hP6           C7      P63/mmc   194         cf      2     --
               MoSi2        2             1:2         tI6         C11b       I4/mmm   139         ae      2     --
            N(alpha)        1               1         cP8           --          Pa3   205          c      1     alphaN
            N(gamma)        1               1         tP4           --      P42/mnm   136          f      1     gammaN
           NV2(beta)        2             1:2         hP9           --         P31m   162        adk      3     --
                NaTl        2             1:1        cF16          B32         Fd3m   227         ab      2     --
                 NbO        2             1:1         cP6           --         Pm3m   221         cd      2     --
               NbNi8        2             1:8        tI18           --       I4/mmm   139        ahi      3     --
                 NbP        2             1:1         tI8           --      I41/amd   141         ab      2     --
