################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.2014969726956433E+00 a         1     0     1     1     1
 -2.8763290865504656E+00 a         2     0     1     1     2
  1.4940374851479166E+00 a         3     0     1     1     3
 -1.8980789191153233E+00 a         4     0     1     1     4
 -1.3705752272830212E+00 a         5     0     1     1     5
 -2.6881582913422135E+00 a         6     0     1     1     6
 -5.6805238885828420E+00 a         7     0     1     1     7
 -3.8464080713504307E+00 a         8     0     1     1     8
  1.3729367111656201E+00 a         9     0     1     1     9
 -5.7991521101042787E-01 a        10     0     1     1    10
  1.0435711708488724E+00 a        11     0     1     1    11
  1.7196748207236854E+00 a        12     0     1     1    12
 -3.6397192513898671E+00 a        13     0     1     1    13
 -1.1321787863680319E+00 a        14     0     1     1    14
  1.5367910649299707E-01 a        15     0     1     1    15
  1.3343770846702045E+00 a        16     0     1     1    16
  1.6159288908217841E+00 a        17     0     1     1    17
 -3.3995283640944805E-02 a        18     0     1     1    18
  3.3189360783370208E+00 a        19     0     1     1    19
 -1.7254412686828500E+00 a        20     0     1     1    20
  1.0189123331830443E+00 a        21     0     1     1    21
 -5.6384322001535718E+00 a        22     0     1     1    22
  1.1471737222706941E+00 a        23     0     1     1    23
 -1.6435247540574722E+00 a        24     0     1     1    24
  4.0407847887515675E+00 a        25     0     2     1     1
  8.1332502626789871E-01 a        26     0     2     1     2
 -2.9985821899261844E+00 a        27     0     2     1     3
 -2.3614110986031625E+00 a        28     0     2     1     4
 -1.2962784472055797E+00 a        29     0     2     1     5
  3.2818750505404162E+00 a        30     0     2     1     6
  2.0590343307611985E+00 a        31     0     2     1     7
 -1.0803961397551443E+00 a        32     0     2     1     8
  1.8579226363413608E+00 a        33     0     2     1     9
 -2.1611708420163951E+00 a        34     0     2     1    10
  1.7139835298177837E+00 a        35     0     2     1    11
  3.2935115880059072E+00 a        36     0     2     1    12
  3.1258039712521337E+00 a        37     0     2     1    13
  3.5127320730550986E+00 a        38     0     2     1    14
  2.1825989077585310E+00 a        39     0     2     1    15
  1.4108289003464698E+00 a        40     0     2     1    16
 -5.0149673961871655E-01 a        41     0     2     1    17
 -2.8186902417500024E+00 a        42     0     2     1    18
 -3.7180543744219674E-01 a        43     0     2     1    19
  3.8760120936330833E+00 a        44     0     2     1    20
  2.9624170100848075E+00 a        45     0     2     1    21
  2.4047981485596268E+00 a        46     0     2     1    22
  3.4100239458372217E+00 a        47     0     2     1    23
 -4.8443905730715819E+00 a        48     0     2     1    24
  1.0514540454906092E+01 a        49     0     3     1     1
 -7.8596484111846916E+00 a        50     0     3     1     2
 -9.0447848428871569E-01 a        51     0     3     1     3
  4.1135779011615592E-01 a        52     0     3     1     4
 -4.7437004187533107E+00 a        53     0     3     1     5
  4.4092307044659194E+00 a        54     0     3     1     6
 -2.5117646675879580E+01 a        55     0     3     1     7
 -5.8922940589867325E+00 a        56     0     3     1     8
 -1.5417355071722138E+01 a        57     0     3     1     9
  2.1530566397947410E+00 a        58     0     3     1    10
 -9.3051929132348938E+00 a        59     0     3     1    11
 -9.6618436246709578E+00 a        60     0     3     1    12
 -7.4892028793076881E-01 a        61     0     3     1    13
 -4.2368943546618493E-02 a        62     0     3     1    14
 -1.5557266208743128E+01 a        63     0     3     1    15
  4.6971284700437135E+00 a        64     0     3     1    16
 -2.7007127982999179E-01 a        65     0     3     1    17
 -1.1061807670588044E+01 a        66     0     3     1    18
 -1.3238640785960312E+01 a        67     0     3     1    19
  1.5890633551270463E+01 a        68     0     3     1    20
  5.7069350032788231E+00 a        69     0     3     1    21
  5.1356504388832107E+00 a        70     0     3     1    22
  1.1881478106617676E+01 a        71     0     3     1    23
 -1.0474819310000285E+01 a        72     0     3     1    24
 -1.2202072511431229E+01 a        73     0     4     1     1
  1.3776673969774269E+01 a        74     0     4     1     2
 -3.4158988274507918E-01 a        75     0     4     1     3
 -3.5987638574916758E+00 a        76     0     4     1     4
  9.3092008122966874E+00 a        77     0     4     1     5
 -6.1586941465617446E+00 a        78     0     4     1     6
  3.8271451891047597E+01 a        79     0     4     1     7
  1.0236367472201414E+01 a        80     0     4     1     8
  1.3704731365988476E+01 a        81     0     4     1     9
 -4.4495287114324249E+00 a        82     0     4     1    10
 -3.4771683763802650E+00 a        83     0     4     1    11
  2.3129529809275642E+01 a        84     0     4     1    12
  3.9081450687153616E+00 a        85     0     4     1    13
 -4.5580402366281589E+00 a        86     0     4     1    14
  2.4969972275330637E+01 a        87     0     4     1    15
 -9.1008876948100976E+00 a        88     0     4     1    16
  9.8879044396585130E+00 a        89     0     4     1    17
  1.7562695033083937E+01 a        90     0     4     1    18
  2.0851037399099575E+01 a        91     0     4     1    19
 -3.0020057290121521E+01 a        92     0     4     1    20
 -5.1146747405143094E+00 a        93     0     4     1    21
 -1.2624606587068728E+01 a        94     0     4     1    22
 -1.6947097661009593E+01 a        95     0     4     1    23
  1.1858214699584975E+01 a        96     0     4     1    24
  2.5571804710493056E+00 a        97     0     5     1     1
  9.7940267838233819E-01 a        98     0     5     1     2
 -5.9251160375273693E-01 a        99     0     5     1     3
  2.2537118996647405E+00 a       100     0     5     1     4
  4.6273239541899674E-01 a       101     0     5     1     5
 -3.5972340075847836E-01 a       102     0     5     1     6
  3.1220907162256513E+00 a       103     0     5     1     7
  1.5392213703420785E+00 a       104     0     5     1     8
  5.7506490636521290E-01 a       105     0     5     1     9
  1.5210309075745947E+00 a       106     0     5     1    10
 -2.0604414370593424E-01 a       107     0     5     1    11
 -2.0012713277900702E+00 a       108     0     5     1    12
  3.5431177785891372E+00 a       109     0     5     1    13
  6.0028262157492496E-01 a       110     0     5     1    14
 -9.8577665560506356E-01 a       111     0     5     1    15
 -1.8900719455347097E+00 a       112     0     5     1    16
 -1.2222646043098613E+00 a       113     0     5     1    17
 -3.5963806212155947E-01 a       114     0     5     1    18
 -2.5935128486383991E+00 a       115     0     5     1    19
  7.8176150276473899E-01 a       116     0     5     1    20
 -6.0423396004192453E-01 a       117     0     5     1    21
  3.1767063870650234E+00 a       118     0     5     1    22
 -1.0401264995241677E+00 a       119     0     5     1    23
  5.1113149029368588E-01 a       120     0     5     1    24
  5.5454142467957335E-01 a       121     0     6     1     1
  1.1381455859446798E+00 a       122     0     6     1     2
  2.4658791187911726E+00 a       123     0     6     1     3
  4.3217706009203061E-01 a       124     0     6     1     4
  9.6018975395924355E-01 a       125     0     6     1     5
 -2.9385474937583931E+00 a       126     0     6     1     6
 -1.5274910281581780E-01 a       127     0     6     1     7
  1.4620425516429305E+00 a       128     0     6     1     8
 -2.3438849838980372E-01 a       129     0     6     1     9
  1.1841052857885286E+00 a       130     0     6     1    10
 -1.8288881780511075E+00 a       131     0     6     1    11
 -6.9538500246496893E-01 a       132     0     6     1    12
 -1.6270701921667319E+00 a       133     0     6     1    13
 -1.3139637654937448E+00 a       134     0     6     1    14
 -1.3904173938038786E+00 a       135     0     6     1    15
