################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6021740423142055E+00 a         1     0     1     1     1
 -1.6943350165164450E-01 a         2     0     1     1     2
 -6.6831813045581501E-01 a         3     0     1     1     3
  2.4129628824492371E+00 a         4     0     1     1     4
  1.7277152946649184E+00 a         5     0     1     1     5
  4.4201514401024117E-01 a         6     0     1     1     6
 -9.3489717492792557E-01 a         7     0     1     1     7
 -1.4247355084471072E-01 a         8     0     1     1     8
 -1.2157806477933705E-01 a         9     0     1     1     9
 -5.5274323298588578E-02 a        10     0     1     1    10
 -6.1061314980008952E-01 a        11     0     1     1    11
  6.3248399669236466E-01 a        12     0     1     1    12
  1.7466016298227208E-01 a        13     0     1     1    13
  2.1850092165906307E+00 a        14     0     1     1    14
 -3.6566079720390327E-01 a        15     0     1     1    15
 -1.0319533370256220E+00 a        16     0     1     1    16
  3.0703864931586125E-02 a        17     0     1     1    17
  4.2001056628317796E-01 a        18     0     1     1    18
  2.0128818683701755E+00 a        19     0     1     1    19
 -1.5410000683053051E+00 a        20     0     1     1    20
 -1.2708153773177875E+00 a        21     0     1     1    21
 -8.5141386124672069E-01 a        22     0     1     1    22
 -1.9577785002480006E+00 a        23     0     1     1    23
 -6.2975895514192148E-01 a        24     0     1     1    24
  2.3893871644611351E+00 a        25     0     2     1     1
 -2.5865577542408706E+00 a        26     0     2     1     2
 -9.7249034986917804E-01 a        27     0     2     1     3
 -3.0223826174325541E-01 a        28     0     2     1     4
 -1.2804420139207844E+00 a        29     0     2     1     5
 -6.0759357575578132E-01 a        30     0     2     1     6
 -5.4275540706402197E+00 a        31     0     2     1     7
  1.6414610261420064E+00 a        32     0     2     1     8
 -1.6346113047791508E-01 a        33     0     2     1     9
  1.7314876515434898E+00 a        34     0     2     1    10
 -6.7897811375260630E-01 a        35     0     2     1    11
  4.4050155647185568E-01 a        36     0     2     1    12
 -3.7122449892654288E+00 a        37     0     2     1    13
 -2.9120167201629186E+00 a        38     0     2     1    14
  7.1998885593928563E-01 a        39     0     2     1    15
