################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.0773695150451269E-01 a         1     0     1     1     1
  6.0022982346172093E-01 a         2     0     1     1     2
 -5.2691066861902591E-01 a         3     0     1     1     3
 -4.3693311024311832E-01 a         4     0     1     1     4
 -5.9783999432757706E-01 a         5     0     1     1     5
 -9.6931497365845040E-02 a         6     0     1     1     6
  9.8435957279736946E-02 a         7     0     1     1     7
  5.2957093526626497E-01 a         8     0     1     1     8
  1.0313899008390721E+00 a         9     0     1     1     9
 -1.0090179749015626E+00 a        10     0     1     1    10
 -6.4794908100670345E-01 a        11     0     1     1    11
  9.7291961634400667E-02 a        12     0     1     1    12
 -9.1898460412478356E-01 a        13     0     1     1    13
 -9.3477455146912164E-02 a        14     0     1     1    14
  4.0644691332617170E-03 a        15     0     1     1    15
  4.7604674515871936E-01 a        16     0     1     1    16
 -8.5289852196532778E-01 a        17     0     2     1     1
  8.8195749597445272E-01 a        18     0     2     1     2
  3.3896990130416305E-01 a        19     0     2     1     3
  1.7978739927895813E-02 a        20     0     2     1     4
 -2.7225943402714264E-01 a        21     0     2     1     5
  4.4118478444799347E-01 a        22     0     2     1     6
  3.2501983523780781E-01 a        23     0     2     1     7
 -3.5743062165538403E-01 a        24     0     2     1     8
 -1.5640210984109049E-01 a        25     0     2     1     9
 -7.5731391623351754E-02 a        26     0     2     1    10
 -4.9038527705222940E-01 a        27     0     2     1    11
  3.4531661392604135E-01 a        28     0     2     1    12
 -3.4230942903391931E-01 a        29     0     2     1    13
 -6.9586075511975864E-01 a        30     0     2     1    14
  3.0933784234565120E-01 a        31     0     2     1    15
 -1.2552237478223647E+00 a        32     0     2     1    16
 -1.1736053553639647E-01 a        33     0     3     1     1
 -8.5184425921827789E-02 a        34     0     3     1     2
  4.1779930913204068E-02 a        35     0     3     1     3
  1.7726685934799891E+00 a        36     0     3     1     4
 -4.5806707543478148E-01 a        37     0     3     1     5
  5.7717108158886943E-01 a        38     0     3     1     6
  1.6544418823692733E-01 a        39     0     3     1     7
 -2.2875223449755783E-01 a        40     0     3     1     8
 -3.4080019717312771E-01 a        41     0     3     1     9
 -1.0786466950355462E+00 a        42     0     3     1    10
 -5.8723500159549846E-01 a        43     0     3     1    11
  2.0886359793247822E-01 a        44     0     3     1    12
  1.1818294976822505E+00 a        45     0     3     1    13
 -8.6333331730185336E-01 a        46     0     3     1    14
  3.0096496850511867E-01 a        47     0     3     1    15
 -3.2181489957742315E-01 a        48     0     3     1    16
 -8.9417626608908696E-01 a        49     0     4     1     1
 -3.0502132199285981E-01 a        50     0     4     1     2
  1.0257263880497185E+00 a        51     0     4     1     3
  7.3402451438680738E-01 a        52     0     4     1     4
  1.9839623209770452E-01 a        53     0     4     1     5
 -1.7600357231223624E-02 a        54     0     4     1     6
 -2.0095158003551833E-01 a        55     0     4     1     7
 -1.2683246894586436E-01 a        56     0     4     1     8
 -8.1433270164350413E-01 a        57     0     4     1     9
  3.9071391921527404E-01 a        58     0     4     1    10
  5.2775952428572948E-01 a        59     0     4     1    11
 -1.6990523457451170E-01 a        60     0     4     1    12
 -2.3884961979238514E-01 a        61     0     4     1    13
 -4.2139563018231341E-01 a        62     0     4     1    14
  3.2649753240789947E-01 a        63     0     4     1    15
  1.2752940871890558E-01 a        64     0     4     1    16
  1.3061857700599594E-01 a        65     0     5     1     1
 -4.3204184200363382E-01 a        66     0     5     1     2
 -4.3586243277681791E-01 a        67     0     5     1     3
 -8.3674072792929011E-01 a        68     0     5     1     4
  3.7452001448733380E-01 a        69     0     5     1     5
  1.3958013842522607E-01 a        70     0     5     1     6
 -5.5911425096187117E-01 a        71     0     5     1     7
 -1.7229875205930409E-01 a        72     0     5     1     8
 -6.8613650320459144E-02 a        73     0     5     1     9
 -1.1322230588020819E-01 a        74     0     5     1    10
 -2.7892751306035418E-01 a        75     0     5     1    11
 -3.7015136072708305E-01 a        76     0     5     1    12
 -1.0630689404729463E-01 a        77     0     5     1    13
 -8.3456823671768932E-01 a        78     0     5     1    14
 -4.8824985611409716E-01 a        79     0     5     1    15
  2.1544785385517565E-01 a        80     0     5     1    16
  5.2747598431618647E-01 a        81     0     6     1     1
 -9.4815287806978218E-02 a        82     0     6     1     2
 -7.5092813162309247E-01 a        83     0     6     1     3
 -8.2479000719350926E-01 a        84     0     6     1     4
 -2.4154287240293265E-01 a        85     0     6     1     5
 -4.1847827005725430E-01 a        86     0     6     1     6
 -1.6473596847398386E-01 a        87     0     6     1     7
  7.0199846572463942E-01 a        88     0     6     1     8
 -2.9615407730386195E-01 a        89     0     6     1     9
  7.2008135271168372E-01 a        90     0     6     1    10
 -9.2391819238137485E-01 a        91     0     6     1    11
  1.4480507459526581E-01 a        92     0     6     1    12
  3.2847102616628582E-01 a        93     0     6     1    13
 -4.1490445897452949E-01 a        94     0     6     1    14
 -9.1116802572394462E-01 a        95     0     6     1    15
  1.0269746535888857E-01 a        96     0     6     1    16
 -7.1576619658607810E-01 a        97     0     7     1     1
  1.6022087161183733E+00 a        98     0     7     1     2
  1.5147227563615204E+00 a        99     0     7     1     3
  1.1587281662651386E-01 a       100     0     7     1     4
 -2.0223414617234672E-01 a       101     0     7     1     5
  5.1298015688117160E-01 a       102     0     7     1     6
 -1.7752232736128920E-01 a       103     0     7     1     7
  1.2354628267482046E-01 a       104     0     7     1     8
 -5.7998093520813943E-01 a       105     0     7     1     9
  1.6157263379787636E+00 a       106     0     7     1    10
  1.1277544572340219E-01 a       107     0     7     1    11
  4.2874810117363782E-01 a       108     0     7     1    12
 -3.5238941913120142E-01 a       109     0     7     1    13
 -3.7332754226272458E-01 a       110     0     7     1    14
 -6.9279796886815070E-02 a       111     0     7     1    15
  2.0764104300410413E-01 a       112     0     7     1    16
 -1.4490070989191033E+00 a       113     0     8     1     1
  1.1290262391456719E-01 a       114     0     8     1     2
  2.0510658637491802E-01 a       115     0     8     1     3
  8.5340548880181011E-01 a       116     0     8     1     4
  6.7279030800782558E-01 a       117     0     8     1     5
 -2.9158451873722757E-01 a       118     0     8     1     6
  2.5142191521283902E-01 a       119     0     8     1     7
  1.0266005012643575E-01 a       120     0     8     1     8
 -3.5888828217098823E-02 a       121     0     8     1     9
  1.4798411230743951E+00 a       122     0     8     1    10
 -1.3807561375915356E-01 a       123     0     8     1    11
 -5.1153846320570651E-01 a       124     0     8     1    12
 -5.2607072764116780E-01 a       125     0     8     1    13
 -1.0479355048250993E+00 a       126     0     8     1    14
  9.8423612230135094E-01 a       127     0     8     1    15
 -8.4309847403079508E-02 a       128     0     8     1    16
  4.1053111363828582E-01 a       129     0     9     1     1
 -1.0156973666566471E+00 a       130     0     9     1     2
 -6.4970101694060789E-01 a       131     0     9     1     3
  2.6481266984375235E-01 a       132     0     9     1     4
 -1.8839431959065234E-01 a       133     0     9     1     5
 -3.9643945626531096E-01 a       134     0     9     1     6
 -6.6962667387329242E-02 a       135     0     9     1     7
 -1.6803311706823293E-01 a       136     0     9     1     8
 -7.8461336175375151E-02 a       137     0     9     1     9
  6.9453092616631337E-02 a       138     0     9     1    10
 -1.7180077331521559E-01 a       139     0     9     1    11
  1.4564178305114548E+00 a       140     0     9     1    12
 -2.5398801122020520E-01 a       141     0     9     1    13
  2.0995023468875476E-01 a       142     0     9     1    14
 -7.2383337171470663E-01 a       143     0     9     1    15
  1.1738578384918609E-01 a       144     0     9     1    16
 -4.4020402688422233E-01 a       145     0    10     1     1
