################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2          7   0.0000000000000000E+00   9.7455033541642963E-02   4.8047667659883095E-03   9.4501609862175425E-03
         2          8   0.0000000000000000E+00   1.4936132649741432E-01   8.5369758952293512E-03   5.1611826680796110E-03
         2          9   0.0000000000000000E+00   1.8609504405255648E+00   1.5963583889949476E-01   2.5342363398206125E-01
         2         10   7.9137008109662673E-03   3.0618245756250939E+00   1.7405806356175735E+00   5.2709718313862952E-01
         2         11   0.0000000000000000E+00   2.6712996533767206E+00   2.1988223150412342E-01   3.1219938458824587E-01
         2         12   7.9991980618967853E-02   3.7536255694142491E+00   2.2651079932838960E+00   6.3847318372489825E-01
         2         13   0.0000000000000000E+00   2.5732384304193410E+00   2.4967635669949884E-01   3.7789045523485770E-01
         2         14   1.7868933984131832E-02   4.6131245351063086E+00   2.7438285615594609E+00   7.6115354159238524E-01
         2         15   0.0000000000000000E+00   3.5793494624290738E+00   3.3144850379715601E-01   4.3633318575653740E-01
         2         16   0.0000000000000000E+00   6.8113357282940745E-01   7.3270534794176292E-02   1.1217881692689766E-01
         2         17   6.0692115469204951E-02   1.2939796937831123E+00   7.6871321230608480E-01   2.1949696077421119E-01
         2         18   0.0000000000000000E+00   1.0318286242686225E+00   9.8728946249598951E-02   1.3092155102239408E-01
         2         19   0.0000000000000000E+00   6.2960189381387677E+00   5.8949485604245466E-01   8.9355946695861976E-01
         2         20   2.0540651193532133E-01   1.0757099914280619E+01   6.4230751894290918E+00   1.8339578646990988E+00
         2         21   0.0000000000000000E+00   8.9166938451193030E+00   8.0282167464649279E-01   1.0680079762345549E+00
         2         22   0.0000000000000000E+00   4.9370903782588238E+00   4.9485785898297951E-01   7.4072106713893859E-01
         2         23   2.4695062874804735E-01   8.9382886832235702E+00   5.3873501082624715E+00   1.5196020789408304E+00
         2         24   0.0000000000000000E+00   7.0602193897475924E+00   6.7629877793677162E-01   8.8595535270028858E-01
         2         25   0.0000000000000000E+00   1.5079223913085447E+00   1.3724823588002152E-01   2.0657598394527057E-01
         2         26   9.3053139778244226E-02   2.5402801005078022E+00   1.5345869603330731E+00   4.2454720368157151E-01
         2         27   0.0000000000000000E+00   2.0211220100521055E+00   1.8872810230827833E-01   2.5024018186844382E-01
         2         28   0.0000000000000000E+00   2.6742601848343375E+00   2.6499787446350409E-01   4.0084137489383070E-01
         2         29   2.4668785236437452E-01   4.8159503680150380E+00   2.8419621598869504E+00   8.0580613705981330E-01
         2         30   0.0000000000000000E+00   3.9679456401861977E+00   3.5737613409932667E-01   4.7140875678933669E-01
         2         31   0.0000000000000000E+00   3.6709999319081024E+00   3.5565928354889048E-01   5.4281160435216325E-01
         2         32   0.0000000000000000E+00   5.0595419535452413E+00   4.6441110718610179E-01   6.1389026225522492E-01
         2         33   0.0000000000000000E+00   2.3781238563577211E-03   7.0035495574019297E-05   7.3693824232046493E-05
         2         34   0.0000000000000000E+00   5.0918094231446921E-04   1.6535587500668377E-05   3.4967723634315880E-05
         2         35   0.0000000000000000E+00   1.8451182511965204E-03   2.0956771374289150E-04   2.1812090793256795E-04
         2         36   0.0000000000000000E+00   9.5703938133711078E-04   4.1074732003620357E-05   7.4513796294086343E-05
         2         37   0.0000000000000000E+00   1.9160303510267975E-03   9.0600248833809948E-06   5.7803963003561302E-05
         2         38   0.0000000000000000E+00   1.9109608016394643E-02   3.2163325746421384E-04   1.1559031638354773E-03
         2         39   0.0000000000000000E+00   1.8330095825304909E-02   1.6114195923711298E-03   2.3626915559356982E-03
         2         40   0.0000000000000000E+00   2.1147498357748519E-02   5.5389949257097810E-04   1.4346391920066640E-03
         2         41   0.0000000000000000E+00   6.7718605908149890E-02   1.5192419748674820E-02   9.2373740340577232E-03
         2         42   0.0000000000000000E+00   2.4729374978233392E-02   2.5822960012454369E-03   3.4849379549313371E-03
         2         43   0.0000000000000000E+00   5.2613759299165987E-02   7.5623686702038959E-04   2.6781470276175988E-03
         2         44   0.0000000000000000E+00   4.8733751343448380E-02   7.0996429097374704E-04   2.5223074090132513E-03
         2         45   0.0000000000000000E+00   5.5620556497415263E-02   4.7182999337841503E-03   6.8896023337725173E-03
         2         46   0.0000000000000000E+00   6.3774078679171051E-02   1.6225115703858242E-03   4.2975898156267572E-03
         2         47   0.0000000000000000E+00   1.5306321261255521E-01   4.3379506233898434E-02   2.5810047718390627E-02
         2         48   0.0000000000000000E+00   9.4495844519533356E-02   7.8620746056265976E-03   1.0911104032982710E-02
         2         49   0.0000000000000000E+00   1.2810640820536237E-01   1.6568965505343832E-03   5.6912642835641250E-03
         2         50   0.0000000000000000E+00   1.5882627401349514E-03   2.8682292625262333E-05   1.1173040234097375E-04
         2         51   0.0000000000000000E+00   2.2206278762711162E-03   3.9288402059474364E-05   9.7324551727360283E-05
         2         52   0.0000000000000000E+00   6.7934064691572860E-03   8.7636318446919468E-05   3.5089434639968122E-04
         2         53   0.0000000000000000E+00   2.1313609889592994E-02   2.8641774182785313E-04   1.0312613975704665E-03
         2         54   0.0000000000000000E+00   2.8412820964042195E-02   2.2603378022262219E-03   3.3307488918628302E-03
         2         55   0.0000000000000000E+00   3.1964886818756436E-02   7.7806682788493476E-04   2.0500865274562345E-03
         2         56   0.0000000000000000E+00   7.6705016896199324E-02   2.0778830422664304E-02   1.2629429324739334E-02
         2         57   0.0000000000000000E+00   5.3217341266035965E-02   3.9273085467121712E-03   5.6621438246699327E-03
         2         58   0.0000000000000000E+00   5.9837980005572722E-02   7.1944348790209790E-04   2.4933097818906347E-03
         2         59   0.0000000000000000E+00   1.7099619212795101E-02   2.1093355918263591E-04   8.0215599785037127E-04
         2         60   0.0000000000000000E+00   1.4035220477920799E-02   1.7300248619167170E-04   6.6235733989788808E-04
         2         61   0.0000000000000000E+00   2.1970614970091267E-02   4.4205004056607473E-04   1.2358454705456764E-03
         2         62   0.0000000000000000E+00   3.0477704628288832E-02   2.2064284534943045E-03   3.2081759177742071E-03
         2         63   0.0000000000000000E+00   1.3295628956873510E-02   9.4214034190453642E-04   1.4595589991838556E-03
