################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         20   0.0000000000000000E+00   7.3059899759962850E+00   3.0397849022699823E+00   4.5929579286853606E-01
         1         21   0.0000000000000000E+00   4.5155845972565993E+00   2.2353583950895439E-01   5.7858196913943583E-01
         1         22   0.0000000000000000E+00   1.5190506747321287E+01   6.3143575472171642E+00   9.6711768632678174E-01
         1         23   0.0000000000000000E+00   9.3835961030036685E+00   4.6730265742000043E-01   1.2119207161054029E+00
         1         24   0.0000000000000000E+00   1.1540235296081899E+01   4.7975971638087751E+00   7.3464071932892838E-01
         1         25   0.0000000000000000E+00   7.1259779266007870E+00   3.5428845327893044E-01   9.1933814071774511E-01
         1         26   0.0000000000000000E+00   4.2653141165815572E-01   1.9246126470194112E-02   5.2620045245957994E-02
         1         27   0.0000000000000000E+00   1.1020193553899208E+01   4.5368063501879723E+00   6.7879201845025272E-01
         1         28   0.0000000000000000E+00   6.7570903216900531E+00   3.3372105709953637E-01   8.6841995070365507E-01
         1         29   0.0000000000000000E+00   1.1330266519060912E+01   4.7305000425000125E+00   7.3256339736443821E-01
         1         30   0.0000000000000000E+00   7.0681462536137163E+00   3.5237626761363305E-01   9.1520303335222741E-01
         1         31   0.0000000000000000E+00   4.4993280752926479E+00   6.0839967614825363E-01   1.6246895126322222E-01
         1         32   0.0000000000000000E+00   2.7434179418988203E+00   6.4813397148639318E-02   1.4905254675724655E-01
         2          1   0.0000000000000000E+00   1.4197060724273305E+00   3.1631148357951161E-01   1.5587362338601637E-01
         2          2   0.0000000000000000E+00   3.4139866123629475E-01   7.6074986822097221E-02   9.9558825306297560E-02
         2          3   0.0000000000000000E+00   5.9457324719155991E-01   2.8048617526447733E-01   1.2975245055151835E-01
         2          4   0.0000000000000000E+00   2.2514365508185008E-01   4.2366121607671524E-02   5.7095452133112110E-02
         2          5   0.0000000000000000E+00   3.4466778301314321E-01   1.5040412286455201E-01   6.5704328428771025E-02
         2          6   0.0000000000000000E+00   3.2246176614253352E+00   3.9765121845185714E-01   5.0740356427410627E-01
         2          7   0.0000000000000000E+00   5.6332692857925943E+00   1.6504582880981182E+00   7.2382399657994301E-01
         2          8   0.0000000000000000E+00   8.1374238209196559E+00   9.9995908339778883E-01   1.2676698226591760E+00
         2          9   0.0000000000000000E+00   1.3860791523619911E+01   4.3185644994001668E+00   1.7986887236101701E+00
         2         10   0.0000000000000000E+00   5.6865996737233993E-01   3.9034540619897515E-02   5.1691852596483609E-02
         2         11   0.0000000000000000E+00   1.8015041481616503E+00   2.2133707298488944E-01   2.8063107133136322E-01
         2         12   0.0000000000000000E+00   3.0724252179973766E+00   9.9172167593163130E-01   3.9910225874966948E-01
         2         13   0.0000000000000000E+00   3.5604464187249607E+00   4.3758657254399991E-01   5.5922013930249648E-01
         2         14   0.0000000000000000E+00   5.8352547524371587E+00   1.9091170419965138E+00   7.6220026001989405E-01
         2         15   0.0000000000000000E+00   5.1040265911892426E+00   5.3149916837071520E-01   6.8063732923574238E-01
         2         16   0.0000000000000000E+00   8.1826955320438142E+00   2.5491387751346228E+00   1.0024638529152698E+00
         2         17   0.0000000000000000E+00   1.6092844294856551E+01   1.9869422580875966E+00   2.5173408184852128E+00
         2         18   0.0000000000000000E+00   2.7436377363782583E+01   8.7434671022434625E+00   3.5639169180459200E+00
         2         19   0.0000000000000000E+00   9.1833552664596834E+00   1.1310840433522780E+00   1.4336120327566373E+00
         2         20   0.0000000000000000E+00   1.5669740687525030E+01   4.9034043261670970E+00   2.0334549777031028E+00
         2         21   0.0000000000000000E+00   5.8490759345689325E+00   7.4126832593129177E-01   9.4224832884469290E-01
         2         22   0.0000000000000000E+00   1.0252795493201434E+01   3.3508658079167151E+00   1.3296171066216165E+00
         2         23   0.0000000000000000E+00   1.2734651153938332E+01   1.5496247014792424E+00   1.9645661926988722E+00
         2         24   0.0000000000000000E+00   2.1316641326696416E+01   6.9622695154066623E+00   2.7698685319555030E+00
         2         25   0.0000000000000000E+00   9.4692758423109229E+00   1.1748577285672219E+00   1.4907335663406180E+00
         2         26   0.0000000000000000E+00   1.6192458223574899E+01   5.2818135934749817E+00   2.1060428099595705E+00
         2         27   0.0000000000000000E+00   9.3474812299125212E+00   1.1066540822608859E+00   1.4062072462601876E+00
         2         28   0.0000000000000000E+00   1.5461814937270415E+01   5.0155762818149778E+00   2.0031819406744305E+00
         2         29   0.0000000000000000E+00   9.6759692195240845E+00   1.1685167200285658E+00   1.4843526491243919E+00
         2         30   0.0000000000000000E+00   1.5914340356427898E+01   5.2527186731078546E+00   2.0763515916586330E+00
         2         31   0.0000000000000000E+00   4.4693757485403190E-01   5.2698450863412606E-02   2.7541780736385930E-02
         2         32   0.0000000000000000E+00   2.5397246531509756E+00   1.9423492389248762E-01   2.2786266222164780E-01
